title,comment,label
이재명 LIVE 실시간으로 만나는 제53회 국무회의 현장,  정부의 한시간은 오천이백만 시간이라는 것을 알아야 한다 고맙습니다   이재명대통령님  연임이 답이다 연임이 답이다  와 진짜 너무너무 열심히 일하시는 국무위원님들 고생많으시네요  ,1
제가 작가님 선배인 것 아시나요 ,어쩜 저리 다정할까 친화력 사랑스러워  우리 여사님   친절하시고  귀여우시고 최고의  여사님 멋지십니다   우리 여사님 햇살 그 자체  다정하고 친절한 성품에 센스까지 겸비하심   반짝 반짝 빛나시는  우리들의  어 머 니   천사님들 옆에 천사  김혜경 여사님  목소리  너무나 다정 다감 하심  아 정은혜 작가님도 우리 김혜경 여사님도 너무 너무 사랑스럽습니다,1
이재명 LIVE 충남의 마음을 듣다  첨단산업의 심장 충남의 미래를 설계하다,이재명 정부가  국가의 이익을 최대한  살릴수  있다면  모든것을 덮고  그는  대한민국의  영웅이 될것이다  우리 대통령님 참 잘 하고 계십니다 연임하셔서 다음기까지 잘 부탁 드립니다 항상 응원하고  사랑합니다  국가보안법 폐지 한다구요  이재명 대통령님 보유국이라 너무너무 행복합니다   연임 부탁드립니다   정성호 법무장관님 오늘도 좋은하루 되세요 하시는일들 지혜롭게 잘 감당하세요,1
LIVE 3실장 및 수석비서관 대통령실 6개월 성과 간담회,          와와강훈식님든든하고믿고 듣는 강훈식님 대통령님곁에 열흥하신점  너무고맙고 박수보냅니다최고  고생 많으셨습니다 ,1
이재명 LIVE K반도체 AI 강국을 엽니다,대통령님 사랑합니다 응원합니다 존경합니다 자랑스럽습니다  빛나는잼형  드디어 세상이 바로 돌아간다  이런걸 보여줘야 일반국민들도 정부의 정책에 협조할수있어 너무 좋아요  울대통령님 토론설명하실때마다 힘이납니다 ,1
이재명 LIVE 국토공간 대전환 대한민국을 넓게 쓰겠습니다  지방시대위원회 보고회,  K 민주주의를 이끌어가는 이재명의 리더쉽이 대한민국을 넘어 세계로 널리널리 퍼져 나가길  대한민국 5극 3특 체제  A급 옆에 A급들이 포진된 일잘하는 정부 좋아요  이런식의 토론을 볼 수 있어서 너무 좋습니다 발전하는 대한민국 기대됩니다,1
왜 최저임금만 줘요,맞아요 일 두배로 잘해도 못하는 사람이랑 똑같이 최저임금 줘요   기업도 이제 최저임금으로 돌아 선지 오래인데 점점 굳어져서 돌리기 힘든 상태가 되고있습니다  정부는 선도적 역활을 해야한다 캬 최고십니다  와 저건 생각도 못했다 역시 살림을 정말 잘 한다  아 이렇게 구석구석 짚어주시니 참 좋습니다  부디 연임이 가능하게 됐음 좋겠습니다 더 발전하는  대한민국 더 행복한 우리 국민이 이렇게  눈에 그려지니까요,1
김치 60kg 이 정도는 기본이죠,준비가 늘 되어 있던분  항상응원합니다 히히  안뇽하심니까 이재명 대통령님  충성  울 여사님은 어쩜 이리 싱그러운 봄 느낌이실까효   영부인님은 소박한 주부 9단이시라 더 정감이 가네요 축하드립니다  너무 자연스럽고 아름다우신 우리 여사님 너무 자랑스럽고 사랑합니다 여사님  진짜 너무 잘하신다 인상도 너무너무 좋으시고 ,1
풀버전 민주평통과 함께 할 평화공존과 공동성장의 미래  제22기 민주평화통일자문회의 출범식,이재명대통령님 감사합니다  할일이 너무많아 노고의 고개가 숙여집니다 우리의대통령님 넘멋지세요 화이팅  대통령님 이해찬부의장님    응원합니다 고맙습니다  6개월만 평화통일공동자문회 이재명의장님 이해찬수석부의장님  채상병사건때도 박정훈대령 옆에서 국민들과 함께 정의로운 목소리 내주시고 김근태정의로운 상 수여할때도 함께 해주셔서 진심으로 감사드려요 이재명정부를 믿고 지지하신 이해찬부의장님 건강하시길 바래요 이재명대통령님  이해찬부의장님 언제나 화이팅요  정대철  손학규   이낙연은 수사대상이요  잼 건강조심하세요  건강하셔야됩니다  이재명대통령 ,1
앞으로 이러고 다니세요,지역발전이  제발 되었으면 좋겠습니다  골고루 사랑을 전해주시네요  모든국민이 사랑과 관심을 알아줬음 좋겟네요  나라는 영양소를 골고루 섭취해야하는 우리 몸과 같습니다  수도권만 발전한다면 편식에 뱃살만 느는 꼴입니다 나라의 지속가능한 발전을 위해 지방의 균형발전은  반드시 이뤄내야하는 필수불가결한 요소입니다  우리대통령 이잼 존중하고 사랑합니다  지혜의 화신 이 잼 ,1
