id,reasoning,label
1,댓글에서 이재명대통령님이라는 호칭을 사용하며 연임을 강력히 주장하고 현 정부이재명 정부를 가정의 국무위원들을 칭찬하며 지지 의사를 명확히 밝히고 있습니다,Progressive
2,우리 여사님 김혜경 여사님을 반복적으로 언급하며 외모 성품 친화력 등을 극찬하고 있습니다 김혜경 여사는 이재명 대표의 배우자이므로 이재명 대표 지지층의 성향으로 판단됩니다,Progressive
3,이재명 정부 이재명 대통령님이라는 표현을 사용하며 이재명 대표를 강력히 지지하고 연임을 주장합니다 또한 국가보안법 폐지를 언급하며 진보적 정책 방향을 지지하고 있습니다,Progressive
4,강훈식 의원은 더불어민주당 소속으로 그를 칭찬하고 대통령님 곁에 열흥하신점 너무 고맙고 박수보냅니다라고 언급하는 것은 이재명 대표혹은 그가 대통령이라는 가정 하에와 그 주변 인물을 지지하는 것으로 해석됩니다,Progressive
5,대통령님 빛나는잼형 이재명 대표의 별명 등의 표현을 사용하며 이재명 대표를 극찬하고 지지합니다 드디어 세상이 바로 돌아간다는 현 정부이재명 정부를 가정에 대한 강한 긍정적 평가를 나타냅니다,Progressive
6,이재명의 리더쉽 일잘하는 정부 등의 표현으로 이재명 대표와 그가 이끄는 정부가정에 대한 강한 지지를 표명하고 있습니다,Progressive
7,최저임금 문제에 대한 정부의 선도적 역할을 강조하며 살림을 정말 잘 한다 연임이 가능하게 됐음 좋겠습니다 등의 표현으로 이재명 대표영상 내용상 이재명 대표의 발언에 대한 반응으로 보임를 지지하고 연임을 희망하고 있습니다,Progressive
8,이재명 대통령님이라고 칭하며 충성을 맹세하고 울 여사님 영부인님 김혜경 여사을 극찬하며 이재명 대표 부부에 대한 강한 지지를 표명하고 있습니다,Progressive
9,이재명대통령님을 반복적으로 언급하며 감사와 응원을 표하고 채상병 사건 관련 박정훈 대령 지지 김근태 정의로운 상 수여 등 진보 진영의 주요 이슈에 대한 지지를 표명합니다 또한 정대철 손학규 이낙연비명계 인사을 수사대상으로 지목하며 이재명 대표 중심의 진보 진영에 대한 강한 지지를 나타냅니다,Progressive
10,우리대통령 이잼 지혜의 화신 이 잼 등의 표현으로 이재명 대표를 극찬하고 지지하며 지방 균형 발전에 대한 긍정적인 입장을 표명하고 있습니다,Progressive
11,털래반은 탈레반을 비꼬는 말로 보수 강경 지지층을 비하하는 은어로 사용될 수 있습니다 우리 대통령 이재명 대통령님을 언급하며 강한 지지와 응원을 표하고 개혁에 대한 지지를 나타냅니다,Progressive
12,이재명 대통령 잼프 이재명 대표의 별명 등의 표현을 사용하며 이재명 대표를 극찬하고 지지합니다,Progressive
13,이재명대통령님을 반복적으로 언급하며 국정운영 능력을 극찬하고 5년 임기가 짧다며 10년 이상 집권해야 한다고 주장하는 등 이재명 대표에 대한 강력한 지지를 표명하고 있습니다,Progressive
14,울혜경여사님 김혜경 여사을 칭찬하고 송기호 비서관을 이재명 정부의 소중한 자산이라고 언급하며 이재명 대표와 그 주변 인물에 대한 지지를 표명하고 있습니다,Progressive
15,나의 대통령님 이잼통님 이재명 대표의 별명 등의 표현을 사용하며 이재명 대표를 지지하고 응원합니다 내란건만 이라도 빨리 해결돼야는 이재명 대표를 둘러싼 사법 리스크에 대한 우려와 해결을 바라는 지지층의 심리를 반영합니다,Progressive
16,지대로 일하는 우리정부 특급 수장 우리잼프님 이재명 대표의 별명을 언급하며 이재명 대표와 그가 이끄는 정부가정에 대한 강한 지지를 표명하고 있습니다,Progressive
17,이대통령님 울잼통령님 이재명 대통령님을 반복적으로 언급하며 이재명 대표를 극찬하고 지지합니다 하루라도 빠르게 청와대 입주완료 하시길 기대하고 있습니다는 이재명 대표가 대통령이 되기를 바라는 강한 염원을 나타냅니다,Progressive
18,강유정 대변인은 더불어민주당 소속으로 그녀의 모습에 감사와 응원을 표하는 것은 민주당 및 진보 진영에 대한 지지로 해석될 수 있습니다,Progressive
19,이잼통님 이재명 대통령님을 반복적으로 언급하며 이재명 대표를 극찬하고 지지합니다,Progressive
21,검찰의 성매매 사건 은폐 의혹을 비판하며 검찰을 조폭보다 더 한 집단 합법적 폭력집단 조폭검사 섹스검사 떡값검사 바바리맨검사 쎅검 등으로 강하게 비난하고 있습니다 이는 검찰 개혁을 주장하는 진보 진영의 시각과 일치합니다,Progressive
22,김평우 변호사는 박근혜 전 대통령 탄핵 심판 당시 변호인으로 보수 진영 인사입니다 그를 비판하는 내용과 함께 뉴스타파진보 성향 탐사보도 매체를 쓰레기만담사라고 비하하는 것은 뉴스타파에 대한 반감을 드러내는 것으로 보수적 시각으로 판단됩니다,Conservative
24,한동훈 전 비대위원장과 그 가족에 대한 특검을 요구하며 범죄자 가족들이라고 비난하고 있습니다 또한 뉴스타파진보 성향 매체를 칭찬하고 후원하는 것은 진보 진영의 시각과 일치합니다,Progressive
25,MBC 박상후 기자는 보수 성향으로 알려져 있으며 시사타파진보 성향 유튜브 채널를 언급하며 비난하는 것으로 보아 보수적 시각을 가지고 있다고 판단됩니다 호모 퍼큐리언스는 비하적인 표현으로 진보 진영에 대한 반감을 드러내는 것으로 해석될 수 있습니다,Conservative
26,만 18세 투표권에 대해 찬반 양론이 섞여 있습니다 권리와 의무는 균형이 있어야 한다 청소년보호법도 연령을 낮추자는 주장은 보수적 관점에서 투표권 부여에 대한 신중론을 펼치는 것으로 볼 수 있으나 정치적 판단이 성숙하지 못하다고 개소리 하지마라 더 학생들에게 투표권을 줘야한다는 주장은 진보적 관점에서 투표권 확대를 지지하는 것으로 볼 수 있습니다 양쪽의 주장이 혼재되어 있어 특정 진영으로 분류하기 어렵습니다,Neutral
27,박근혜 전 대통령의 외교적 실책중국 전승절 참석을 비판하며 조롱하고 있습니다 순실아 질문왔다 뭐라고 대답해야 하니는 최순실 국정농단 사태를 비꼬는 것으로 박근혜 정부에 대한 비판적 시각을 가진 진보 진영의 입장에 해당합니다,Progressive
28,뉴스타파진보 성향 매체의 전두환 관련 보도에 대해 뭘 취재한건지 모르겠네 취재실패한걸 취재한건가 날로 먹는다 등 비판적인 시각을 드러내고 있습니다 이는 뉴스타파의 보도 내용을 폄하하며 보수적 시각을 반영하는 것으로 해석될 수 있습니다,Conservative
29,KBS를 비판하며 종범이다 종북 세력의 범죄자라는 멸칭라는 표현을 사용하는 것은 보수 진영의 시각을 반영합니다,Conservative
31,뉴스타파는 진보 성향의 탐사보도 매체로 인식되며 사장됐구나는 최승호 앵커가 진실을 말했기 때문에 불이익을 받았다는 뉘앙스를 풍겨 현 정권 또는 보수 진영에 대한 비판적 시각을 내포합니다,Progressive
32,공수처에서 재수사 하자 검찰횡포를 처벌합시다 곯아있는 검찰을 개혁해야 합니다 등의 표현은 검찰에 대한 강한 비판과 개혁 요구를 담고 있으며 이는 주로 진보 진영에서 주장하는 내용입니다 뉴스타파에 대한 지지도 진보적 성향을 나타냅니다,Progressive
33,검사의 비리를 강하게 비판하며 사회에서 매장시켜야 할 것 범죄자가 범죄자를 조사한겨 등의 표현을 사용합니다 검찰의 부패와 인성에 대한 비판은 진보 진영에서 주로 제기하는 검찰 개혁의 논조와 일치합니다,Progressive
34,전두환 정권의 인물인 정호용의 재산 축적에 대해 강하게 비판하며 돈 다 내놓고 조용히 살아 전재산 518에헌납해라 등의 표현을 사용합니다 518 민주화운동을 언급하며 전두환 정권 관련 인물을 비판하는 것은 진보적 시각입니다,Progressive
36,우병우 박근혜 이명박 등 보수 진영 인물들을 비판하며 감옥보내야 되는거 아니어 윤석렬 나이롱법과 원칙이라고 언급합니다 윤석열 대통령을 비판하는 것은 진보적 성향의 특징입니다 노무현 대통령과 세월호 희생자들을 언급하며 이들의 한을 풀어야 한다고 주장하는 것도 진보적 관점입니다,Progressive
37,박근혜 정부의 시위 진압을 비판하는 동시에 노무현 정부의 시위 진압도 강하게 비판하며 양쪽 진영 모두의 공권력 행사를 비판하는 양비론적 시각을 보입니다,Neutral
38,김거니를 수사하라 특검가자 윤짜장 등 김건희 여사와 윤석열 대통령에 대한 강한 비판과 멸칭을 사용합니다 정경심 교수 사례와 비교하며 김건희 여사에 대한 수사를 촉구하는 것은 진보 진영의 전형적인 주장입니다,Progressive
39,개인적인 경험을 바탕으로 경찰 검찰 법원의 부패와 불공정함을 비판하고 개혁을 요구하는 내용입니다 우리나라 법 경찰 빨리 고치고 물갈이를 해야 한다는 주장은 진보 진영의 검찰 개혁 의제와 맥락을 같이 합니다,Progressive
41,공수처에서 수사 가즈아 검찰 판사 다 긴장해라 등 공수처의 역할을 강조하고 검찰과 판사를 비판하며 수사를 촉구하는 내용은 진보 진영의 주장과 일치합니다,Progressive
42,전두환 일가의 추징금 환수와 불법 재산에 대한 강한 비판과 환수 요구는 진보적 시각입니다,Progressive
43,검찰개혁 꼭 필요 합니다는 진보 진영의 핵심 의제입니다 최강욱 변호사는 진보 진영의 인물로 그를 검찰총장으로 추천하는 것은 진보적 성향을 명확히 보여줍니다,Progressive
44,삼성과 검찰 언론sbs이 한통속이라고 비판하며 검찰의 불공정 수사를 지적하는 것은 진보 진영의 시각과 일치합니다,Progressive
45,김기현 의원국민의힘 소속의 비리를 주장하며 특검하라 공수처로 수사합시다라고 요구하는 것은 보수 진영 인물에 대한 비판이자 진보 진영의 주장을 지지하는 것입니다,Progressive
46,김기춘보수 진영 인물과 이건희재벌를 언급하며 이들의 부도덕한 행태를 비판하는 것은 진보적 시각입니다,Progressive
